primary_city,Number_of_Jobs,Average_Rating,Average_Salary
Mumbai(Aarey Milk Colony),1,3.2,8.0
Mumbai Suburban(Goregaon),1,4.2,0.0
Mumbai(Andheri West +1),1,4.5,5.5
Kolkata(Ep Block Sector 5 Salt Lake +2),1,2.7,3.25
Kolkata(Ep Block Sector 5 Salt Lake +1),1,3.9,6.0
Kolkata(Entally),1,3.4,0.0
Kolkata(Chinar Park),1,4.4,2.75
Kolkata(Baruipur),1,3.1,0.0
Kolkata(Lake Gardens),1,4.6,4.25
Kolkata(Ep Block Sector 5 Salt Lake),1,3.8,0.0
Kolkata(Girish Park),1,3.6,2.38
Kolkata(Lake Town),1,2.6,2.25
Kolkata(Madhyamgram),1,3.6,4.25
Kolkata(Kolkata Dakshin),1,3.3,22.5
Kolkata(New Town +1),1,3.6,5.12
Mumbai(Santacruz),1,4.4,0.3
Mumbai(Masjid Bunder),1,3.6,2.25
Mumbai(Parel),1,4.0,0.0
Mumbai(Mulund),1,4.1,0.0
Pune(Balewadi),1,3.7,0.0
Pune(Balewadi Phata),1,3.7,3.5
Pune(Aundh +5),1,3.6,5.75
Panchkula,1,3.6,0.0
Nagpur,1,4.5,0.0
Neemrana,1,3.6,0.0
North Goa,1,2.8,26.25
Pahari,1,3.7,0.0
Nagamangala,1,3.6,3.62
Nagercoil,1,3.3,0.0
Mumbai(Seepz +1),1,3.2,11.5
Mumbai(Sion),1,4.2,12.0
Mumbai(Turbhe),1,3.6,0.0
Mumbai(Tardeo),1,3.6,0.0
Mumbai(Vidyavihar),1,4.2,0.0
Mumbai(Wadala East),1,3.5,30.0
Pune(Pune Nashik Highway),1,3.3,0.0
Pune(Mahalunge +2),1,3.6,17.5
Pune(Kothrud +1),1,3.2,5.0
Pune(Hinjewadi Phase 2),1,3.6,0.0
Pune(Bhosari),1,3.6,0.25
Pune(Baner +1),1,3.9,0.0
Pune(Viman Nagar +1),1,3.3,0.0
Pune(Senapati Bapat Road),1,4.3,0.25
Pune(Yerwada),1,3.6,0.0
Pune(Wanwadi),1,3.6,0.15
Pune(Wakad +3),1,3.9,2.62
Singrauli,1,3.6,0.0
Temp. Wfh - Kolkata,1,3.6,0.0
Temp. Wfh - Chennai,1,3.6,0.0
Temp. Wfh - Pune,1,3.6,0.0
United States (Usa),1,4.9,0.0
